date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016/6/1 0:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,8.300368,603.1928,2.2764,601.3919,0.213675,0.091576,0.6715518,0.091576,1.4743606,1.269845,0.457875,0.824176,0.091576,0.19536,0.7264969,1.61783,305.9636,424.821,9.107536,2.787921,428.0116,847.2819,847.5887,27.8669,27.56307,603.5423,171900.2,7509.13,22.233,22.19172,22.1299,22.17112,6,0,3.162395,3.71795,5.030526,3.6569,32.44201,42.96703,86.76436,887.0591,2251.711,2795.191,367.8389,3334.877,2.908333,0.001526257,143.286
2016/6/1 0:10,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,604.3826,2.2764,605.0376,0.213675,0.091576,1.8376083,0.2625163,6.446885,1.30037,0.457875,0.824176,0.3357768,0.177045,2.5885235,1.72772,308.2446,423.5609,9.347521,2.876771,428.9899,870.0657,869.3564,28.78814,28.49967,602.0222,171912,7509.13,22.233,22.19688,22.1299,22.17626,6,0,2.002445,3.638585,3.4127,6.965811,12.930382,33.10746,60.66544,900.5002,2292.102,2767.673,367.7978,3418.86,2.868589,0,143.286
2016/6/1 0:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,604.8155,2.2764,607.7678,0.213675,0.091576,1.3736282,0.091576,8.559218,1.306475,0.457875,0.8302811,0.3540904,0.189255,6.79487,1.684985,308.4406,425.7934,9.362178,2.88532,430.0266,874.3482,873.3152,28.99148,28.59143,605.7673,171923.8,7509.13,22.233,22.18914,22.1299,22.17112,6,3.629422,16.947495,6.581195,19.145306,21.13551,39.24297,36.9292,79.45054,895.5898,2277.47,2788.825,362.7716,3396.554,2.939744,0,142.8852
2016/6/1 0:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,602.7987,2.2764,606.1907,0.213675,0.091576,0.3846159,0.091576,5.9645894,1.31258,0.457875,0.8363862,0.2442007,0.15873,4.78022,1.67888,308.6661,423.381,9.40431,2.897836,429.1628,875.9755,876.2777,28.67947,28.76033,600.1357,171935.7,7509.13,22.233,22.18656,22.1299,22.15827,6,7.692299,28.84617,10.219769,30.03664,20.970688,32.918198,42.61905,73.46763,901.6478,2282.129,2809.54,360.2544,3397.7,3.157051,0,141.282
2016/6/1 0:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,598.8315,2.2764,603.8272,0.213675,0.091576,0.2991457,0.091576,0.9310142,1.31258,0.457875,0.8302811,0.152625,0.17094,0.702076,1.67888,308.2866,421.9645,9.375001,2.888679,426.2068,873.3205,879.0397,28.17887,28.82134,597.1285,171947.6,7509.13,22.233,22.1814,22.1299,22.1557,6,0,4.2185624,3.54701,5.891329,2.558,3.772895,11.220998,20.0488366,917.9546,2338.268,2770.78,372.1228,3458.615,3.415064,0,141.282
2016/6/1 0:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,599.826,2.2764,604.0392,0.213675,0.091576,0.4273512,0.091576,0.74175936,1.31258,0.457875,0.8424913,0.0976809,0.15873,0.702076,1.67888,308.3085,422.2889,9.389654,2.8899,425.5732,874.9477,873.1733,28.53115,28.7573,599.7711,171959.6,7509.13,22.233,22.18656,22.1299,22.16598,6,0,1.697195,3.68132,2.344325,2.35043,6.349205,12.887657,18.449317,914.6104,2333.426,2778.353,367.0755,3450.058,3.22564,0,141.282
2016/6/1 1:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,598.9788,2.2764,602.676,0.213675,0.091576,0.4212464,0.091576,0.3479855,1.28816,0.457875,0.8302811,0.0976809,0.15873,0.702076,1.67888,308.0221,421.158,9.314546,2.869749,425.5732,867.239,866.5673,28.48657,28.54855,597.8067,171971.4,7509.13,22.233,22.1814,22.1299,22.1557,6,0,1.758245,3.59585,2.35043,2.442005,4.835166,22.04517,19.65811,905.0023,2310.836,2790.133,361.0511,3412.537,3.338142,0,141.282
2016/6/1 1:10,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,598.7922,2.2764,602.2705,0.213675,0.091576,0.2686208,0.091576,0,1.306475,0.457875,0.8485964,0.091576,0.152625,0.702076,1.67888,307.6254,421.8094,9.25684,2.85143,425.17,861.9284,861.7386,28.35775,28.30611,599.973,171983.2,7509.13,22.233,22.1814,22.1299,22.1557,6,0.210623,1.843715,3.80342,2.35043,2.527475,3.968255,32.45423,12.307673,898.6396,2289.074,2797.029,358.5951,3374.094,3.248397,0,141.282
2016/6/1 1:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,599.3035,2.2764,602.2094,0.213675,0.091576,0.2869356,0.091576,0.07020784,1.30037,0.457875,0.8363862,0.091576,0.152625,0.702076,1.67888,307.2084,422.926,9.204628,2.838912,425.5356,858.588,859.1854,28.18804,28.2283,600.9244,171995.2,7509.13,22.233,22.18914,22.1299,22.1557,6,0,2.25275,3.638585,3.369965,4.835165,10.579955,40.1099,25.39072,896.394,2272.211,2800.451,359.401,3351.643,3.166346,0,141.282
2016/6/1 1:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,597.8013,2.2764,601.2741,0.213675,0.091576,0.1709402,0.091576,0.0305256,1.31258,0.457875,0.824176,0.091576,0.177045,0.702076,1.67888,307.2864,422.0976,9.255924,2.855093,424.8206,862.6993,862.3027,27.9994,28.20774,598.7612,172007,7509.13,22.233,22.18398,22.1299,22.1557,6,0,2.0696,3.54701,2.96093,2.368745,6.129425,20.03662,39.83517,908.3871,2305.059,2784.238,368.702,3392.927,3.225642,0,141.282
2016/6/1 1:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,600.1994,2.2764,602.488,0.213675,0.091576,0.1892551,0.091576,0.5952391,1.31258,0.457875,0.8302811,0.091576,0.164835,0.702076,1.67888,307.3189,423.574,9.147836,2.832499,426.1742,854.1338,853.1492,28.5592,28.19282,602.5047,172018.9,7509.13,22.233,22.1814,22.1299,22.1557,6,3.806471,6.41026,6.251526,8.687415,7.032969,22.234421,28.82175,68.44933,878.1481,2230.369,2806.07,344.5606,3353.588,3.249039,0,140.8814
2016/6/1 1:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,598.0624,2.2764,600.0659,0.213675,0.091576,0.1831507,0.091576,0,1.31258,0.457875,0.8302811,0.091576,0.152625,0.702076,1.67888,306.1085,422.325,9.002201,2.782426,425.6308,838.9735,839.3723,27.75764,27.70179,599.2916,172030.7,7509.13,22.233,22.1814,22.1299,22.1557,6,3.537851,3.6019535,5.799755,5.512821,2.332115,25.561648,38.71185,77.17339,868.2323,2193.984,2829.509,345.2706,3263.215,3.467947,0.00015261,139.279
2016/6/1 2:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,596.4645,2.2764,598.3377,0.213675,0.091576,0.1892559,0.091576,0,1.31258,0.457875,0.8302811,0.091576,0.152625,0.6898658,1.67888,305.6868,422.6226,8.993957,2.767772,423.9553,837.6886,838.3855,27.12452,27.55789,598.2319,172042.6,7509.13,22.233,22.1814,22.1299,22.15312,6,0.418193,0.8608065,3.75458,2.283275,2.50916,3.27839,24.706964,34.829059,882.123,2237.779,2804.906,353.4586,3319.083,3.416669,0.000457877,139.279
2016/6/1 2:10,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,595.7076,2.2764,597.1138,0.213675,0.091576,0.341881,0.091576,0,1.31258,0.457875,0.824176,0.091576,0.152625,0.6654454,1.67888,305.429,420.4989,8.987546,2.758612,422.2064,835.2902,835.0612,27.03908,27.45204,595.3614,172054.4,7509.13,22.233,22.1814,22.1299,22.1557,6,0,0.775336,3.540905,2.28938,2.356535,2.954825,10.024402,0.8730168,884.2439,2245.897,2791.548,359.8191,3313.371,3.308013,0,139.279
2016/6/1 2:20,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,596.7788,2.2764,598.0649,0.213675,0.091576,0.317461,0.091576,0,1.31258,0.457875,0.824176,0.091576,0.17094,0.6532352,1.67888,305.5366,421.4908,8.979301,2.755252,422.723,833.9199,833.4826,27.3675,27.44131,597.602,172066.2,7509.13,22.233,22.1814,22.1299,22.1557,6,0,1.0683768,3.51038,2.8022,2.551895,5.250309,16.56286,1.8864478,882.1841,2231.743,2784.153,358.7302,3333.636,3.123076,0,139.279
2016/6/1 2:30,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,599.3023,2.2764,599.9804,0.20757,0.091576,0.1221009,0.091576,0.3663011,1.31258,0.457875,0.824176,0.091576,0.164835,0.6532352,1.660565,305.2184,423.0677,8.887702,2.728077,424.1988,827.1533,827.2657,27.5293,27.26389,602.0388,172078.2,7509.13,22.22526,22.1814,22.12476,22.15054,6,1.956655,8.58363,4.67033,11.361406,23.199023,26.98413,34.31625,29.145286,863.5093,2174.087,2808.608,344.426,3313.196,3.065064,0,139.279
2016/6/1 2:40,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,597.9438,2.2764,599.2877,0.213675,0.091576,0.1343109,0.091576,0.02747304,1.306475,0.457875,0.824176,0.091576,0.152625,0.6654454,1.672775,305.0421,422.0232,8.869382,2.720443,424.3426,824.4981,824.042,27.1154,27.12109,597.9352,172090,7509.13,22.233,22.1814,22.11962,22.14538,6,0,1.6483525,3.58364,3.711845,11.61782,16.636137,32.65569,51.55068,862.5722,2184.389,2820.551,346.7386,3310.944,3.442949,0,139.279
2016/6/1 2:50,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,596.5601,2.2764,597.66,0.20757,0.091576,0.1526258,0.091576,0.02442048,1.31258,0.457875,0.8363862,0.091576,0.152625,0.6471301,1.672775,304.4997,421.4645,8.801598,2.69907,423.3497,816.6181,817.343,26.80098,26.90135,596.9741,172101.8,7509.13,22.22526,22.1814,22.12733,22.1428,6,0,0.9218554,3.52259,2.28938,2.64347,3.687425,12.380947,11.520136,858.5891,2176.572,2807.102,346.0503,3270.746,3.53077,0,139.279
2016/6/1 3:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,88,88,100,100,9.10256,596.5117,2.2764,597.8837,0.213675,0.091576,0.183151,0.091576,0.02747304,1.31258,0.457875,0.8424913,0.091576,0.164835,0.6471301,1.66667,304.4922,422.0965,8.813506,2.70121,423.069,818.2455,817.3645,26.76191,26.92857,597.9238,172113.5,7509.13,22.22268,22.1814,22.12219,22.13506,6,0,1.65446,3.57143,2.332115,2.3138,3.870575,13.308904,9.4261181,865.0907,2184.39,2794.283,346.1906,3300.555,3.461538,0,139.279
